iter	Passed	Remaining
0	6	6878
1	12	6297
2	17	5973
3	23	5832
4	28	5760
5	34	5686
6	39	5644
7	44	5538
8	48	5380
9	52	5222
10	58	5244
11	62	5152
12	66	5045
13	71	5057
14	76	5035
15	80	4965
16	84	4909
17	89	4909
18	95	4907
19	100	4936
20	106	4958
21	110	4924
22	115	4889
23	119	4869
24	124	4856
25	128	4807
26	132	4760
27	136	4736
28	140	4708
29	144	4675
30	147	4624
31	151	4592
32	156	4583
33	160	4565
34	164	4538
35	168	4520
36	173	4503
37	176	4471
38	180	4459
39	184	4430
40	188	4406
41	191	4372
42	195	4345
43	198	4319
44	202	4295
45	205	4267
46	209	4248
47	213	4226
48	216	4199
49	219	4169
50	222	4139
51	226	4131
52	230	4111
53	233	4084
54	236	4057
55	239	4038
56	242	4013
57	245	3992
58	248	3970
59	252	3948
60	255	3926
61	258	3904
62	261	3882
63	264	3861
64	267	3840
65	269	3817
66	272	3799
67	275	3780
68	278	3763
69	282	3748
70	285	3734
71	288	3717
72	291	3701
73	294	3684
74	297	3666
75	300	3657
76	304	3649
77	308	3643
78	311	3635
79	315	3626
80	318	3613
81	321	3598
82	324	3585
83	327	3574
84	331	3563
85	334	3550
86	337	3538
87	340	3525
88	343	3514
89	346	3503
90	349	3491
91	352	3478
92	355	3471
93	359	3460
94	361	3447
95	364	3434
96	367	3422
97	370	3411
98	373	3398
99	376	3388
100	379	3380
101	382	3371
102	386	3362
103	389	3352
104	392	3343
105	395	3335
106	398	3327
107	401	3319
108	405	3311
109	408	3307
110	412	3302
111	415	3294
112	418	3285
113	421	3275
114	424	3267
115	427	3260
116	430	3252
117	433	3243
118	437	3236
119	440	3228
120	443	3218
121	446	3212
122	449	3204
123	453	3204
124	456	3196
125	459	3190
126	463	3184
127	466	3176
128	469	3167
129	472	3159
130	475	3151
131	478	3143
132	480	3134
133	483	3126
134	486	3120
135	489	3112
136	493	3106
137	496	3101
138	499	3092
139	502	3084
140	505	3078
141	508	3072
142	511	3066
143	514	3059
144	517	3052
145	520	3046
146	525	3046
147	527	3038
148	530	3029
149	533	3021
150	536	3014
151	539	3009
152	542	3004
153	545	2999
154	548	2992
155	551	2986
156	554	2978
157	557	2973
158	560	2965
159	564	2962
160	567	2957
161	570	2950
162	573	2945
163	576	2939
164	579	2933
165	582	2927
166	585	2920
167	588	2915
168	591	2908
169	594	2902
170	597	2897
171	600	2890
172	603	2884
173	606	2878
174	609	2871
175	612	2866
176	615	2860
177	617	2853
178	622	2853
179	625	2849
180	628	2843
181	631	2838
182	634	2832
183	637	2827
184	640	2822
185	644	2818
186	647	2813
187	650	2808
188	653	2803
189	656	2798
190	659	2793
191	662	2788
192	665	2783
193	668	2778
194	671	2774
195	675	2769
196	678	2764
197	681	2760
198	684	2755
199	687	2750
200	690	2744
201	693	2740
202	697	2737
203	700	2733
204	704	2730
205	707	2727
206	710	2722
207	713	2717
208	716	2712
209	719	2707
210	722	2702
211	726	2700
212	729	2696
213	733	2693
214	736	2689
215	740	2686
216	743	2682
217	746	2678
218	750	2675
219	753	2672
220	757	2669
221	761	2666
222	764	2663
223	767	2659
224	770	2654
225	774	2651
226	777	2647
227	780	2644
228	785	2643
229	788	2640
230	791	2635
231	794	2631
232	798	2628
233	801	2623
234	804	2619
235	807	2615
236	811	2611
237	814	2608
238	817	2603
239	820	2598
240	823	2592
241	826	2587
242	829	2584
243	833	2581
244	836	2577
245	839	2573
246	842	2569
247	846	2566
248	850	2564
249	854	2563
250	858	2561
251	862	2559
252	869	2567
253	872	2562
254	876	2559
255	879	2555
256	882	2550
257	885	2546
258	888	2541
259	891	2538
260	895	2534
261	898	2530
262	901	2526
263	904	2521
264	908	2518
265	911	2515
